stage,dataset,check,n_affected,n_total,share_affected,action,justification,timestamp_utc,departments,encoding_used,estado_values,condicion_values,n_strata,weight_sum,universe_population,n_districts_below_k_points,direct_coverage_threshold
validation,renipress,UBIGEO sin polígono distrital disponible,95,19783,0.004802,conservado; se agrega a nivel provincial en la Fase 3,distritos creados después de 2020-07-14 no existen en la versión vigente de los límites de HDX/INEI,2026-09-08T01:04:36+00:00,,,,,,,,,
validation,renipress,tasa de recuperación de coordenadas,7061,7067,0.999151,7061 de 7067 registros recuperados,recuperación por centroide del centro poblado capital del distrito declarado; el error introducido se acota por el radio del distrito y se propaga como banda de incertidumbre en la Fase 3,2026-09-08T01:04:36+00:00,,,,,,,,,
validation,ccpp,orientación de las columnas de coordenadas,99937,99937,1.0,"latitud <- 'Longitud (coord Y)', longitud <- 'Latitud (coord X)'","encabezado invertido: se ignoran las etiquetas. Puntuación como etiquetado = 0.000, como invertido = 2.000 (fracción de valores dentro del rango esperado de cada eje, que son disjuntos en el Perú)",2026-09-08T01:04:59+00:00,,,,,,,,,
validation,ccpp,clasificación urbano/rural,361,99937,0.003612,"se usa CLASIFICACIÓN INEI cuando existe; en su ausencia, umbral de 2000 habitantes","la regla primaria es la clasificación oficial del INEI, no un umbral propio; el umbral es solo respaldo y se reporta cuántos casos lo usaron",2026-09-08T01:05:00+00:00,,,,,,,,,
validation,ccpp,filtro de alcance geográfico,10,99937,0.0001,descartados centros poblados fuera del alcance 'national',"alcance activo: AMAZONAS, ANCASH, APURIMAC, AREQUIPA, AYACUCHO, CAJAMARCA, CALLAO, CUSCO, HUANCAVELICA, HUANUCO, ICA, JUNIN, LA LIBERTAD, LAMBAYEQUE, LIMA, LORETO, MADRE DE DIOS, MOQUEGUA, PASCO, PIURA, PUNO, SAN MARTIN, TACNA, TUMBES, UCAYALI",2026-09-08T01:05:00+00:00,,,,,,,,,
validation,ccpp,"coordenadas nulas, vacías o cero",0,99927,0.0,descartados del universo de demanda,un punto de demanda sin ubicación no puede rutearse; su población se reporta aparte como cobertura no evaluable,2026-09-08T01:05:00+00:00,,,,,,,,,
validation,ccpp,latitud/longitud intercambiadas (por registro),0,99927,0.0,par invertido registro a registro,independiente de la inversión sistemática del encabezado; captura errores de captura individuales,2026-09-08T01:05:00+00:00,,,,,,,,,
validation,ccpp,puntos fuera del bounding box del Perú,0,99927,0.0,descartados,"bbox declarado en config.md: (-81.4, -18.4, -68.6, -0.04)",2026-09-08T01:05:00+00:00,,,,,,,,,
validation,ccpp,punto fuera del polígono distrital declarado,816,99927,0.008166,"marcado, no descartado","tolerancia de 0.02° (~2.2 km) para bordes; el desacuerdo puede venir del polígono (HDX 2020) o del UBIGEO declarado, así que descartar sesgaría hacia distritos con límites desactualizados",2026-09-08T01:05:12+00:00,,,,,,,,,
validation,ccpp,UBIGEO sin polígono distrital disponible,189,99927,0.001891,conservado; se agrega a nivel provincial en la Fase 3,distritos creados después de 2020-07-14 no existen en la versión vigente de los límites de HDX/INEI,2026-09-08T01:05:12+00:00,,,,,,,,,
validation,ccpp,centros poblados con población cero,12423,99927,0.124321,descartados del universo de demanda,no aportan peso a ningún agregado poblacional y consumirían cupos del límite de 5 000 puntos ruteables,2026-09-08T01:05:12+00:00,,,,,,,,,
validation,demand_sample,muestreo de puntos de demanda,5000,87504,0.05714,2003 puntos de certeza (capitales y ≥ 2000 hab.) + 2997 PPS estratificados por departamento × área,"límite del enunciado: 5000 puntos ruteables. Los pesos de diseño suman 27,776,818 habitantes frente a 27,776,818 del universo (100.0000%); los agregados poblacionales siguen siendo estimadores de Horvitz–Thompson no sesgados. Implicancia: los centros poblados rurales muy pequeños están representados por análogos ponderados, no individualmente.",2026-09-08T01:05:20+00:00,,,,,2400.0,27776818.0,27776818.0,,
validation,demand_sample,distritos con estimación de alta varianza,708,1853,0.382083,marcados los distritos con < 3 puntos Y menos del 60% de su población en el estrato de certeza,"1044 distritos tienen menos de 3 puntos, pero en la mayoría la capital concentra la población, de modo que la estimación sigue siendo firme. El ranking de brechas críticas debe distinguir un distrito realmente mal cubierto de uno mal muestreado, no penalizar a los distritos concentrados. Todo distrito del alcance tiene al menos su capital en la muestra.",2026-09-08T01:05:20+00:00,,,,,,,,1044.0,0.6
